Company number, Job Title, Industry, Main Company Interest, Country,Country Region,Channel Group (Inbound),Device Category, Num of Employees, Signup Timestamp Date, Conversion to Mql Timestamp Date, First Demo Date Date, Conversion to Paid Timestamp Date, Arr At Conversion
905,Director,foodBeverages,timeClock,United Kingdom,Europe,mobile,Mobile,40,12/06/2024,,,,
906,Welder,manufacturing,formsAndChecklists,United States of America,NorthAmerica,organic,Mobile,20,12/06/2024,,,,
907,Lecturer,healthcare,scheduling,United States of America,NorthAmerica,cpc-google,PC,40,12/06/2024,,,,
908,Technical Coordinator,construction,checklists,United Kingdom,Europe,cpc-google,PC,40,12/06/2024,12/06/2024,,,
909,Administration,construction,general,South Africa,Africa,cpc-google,PC,20,12/06/2024,,,,
910,Admin,transportation,general,New Zealand,APAC,cpc-google_pmax,PC,350,12/06/2024,12/06/2024,,,
911,CEO,healthcare,schedule,United States of America,NorthAmerica,cpc-google,Mobile,40,12/06/2024,,,,
912,HR,fieldServices,timeClock,Philippines,APAC,mobile,Mobile,"3,000",12/06/2024,12/06/2024,,,
913,Merchandising Program Coordinator,retail,scheduling,Canada,NorthAmerica,cpc-google,PC,20,12/06/2024,12/06/2024,,,
914,Graphic designer,hospitality,general,Nepal,APAC,organic,PC,20,12/06/2024,,,,
915,Admin,other,timeTracking,United Arab Emirates,ArabStates,cpc-google,PC,40,12/06/2024,,,,
916,Special Events Coordinator,events,general,United States of America,NorthAmerica,,Mobile,40,12/06/2024,22/06/2024,,,
917,Owner,healthcare,timeTracking,United States of America,NorthAmerica,cpc-google_pmax,PC,20,12/06/2024,12/06/2024,,,
918,canvasor,other,general,United States of America,NorthAmerica,mobile,Mobile,20,12/06/2024,,,,
919,Innovation Development Officer,governmental,scheduling,Thailand,APAC,cpc-pmp,PC,350,12/06/2024,,,,
920,Operations,healthcare,scheduling,United States of America,NorthAmerica,cpc-google_pmax,PC,20,12/06/2024,,,,
921,Director of Outreach,fieldServices,general,United States of America,NorthAmerica,direct,Mobile,20,12/06/2024,,13/06/2024,,
922,Owner,foodBeverages,timeTracking,France,Europe,cpc-google,Mobile,20,12/06/2024,,,,
923,Housekeeper,healthcare,general,Canada,NorthAmerica,cpc-google,Mobile,150,12/06/2024,,,,
924,Scheduling Coordinator,healthcare,timeTracking,Philippines,APAC,cpc-google,PC,40,12/06/2024,12/06/2024,,,
925,Lead Tech.,healthcare,scheduling,United States of America,NorthAmerica,cpc-google,PC,20,12/06/2024,,,,
926,estagiária,other,checklists,Brazil,SouthAmerica,cpc-google,PC,40,12/06/2024,,,,
927,Partner,foodBeverages,checklists,Saudi Arabia,ArabStates,cpc-google,PC,20,12/06/2024,,,,
928,Owner/President,other,general,United States of America,NorthAmerica,mobile,Mobile,750,12/06/2024,13/06/2024,,,
929,Controller,hospitality,general,Canada,NorthAmerica,cpc-Bingpaid_brand,PC,20,12/06/2024,12/06/2024,20/06/2024,,
930,Property Operations Manager,cleaning,scheduling,United Kingdom,Europe,cpc-Bingpaid,PC,20,12/06/2024,12/06/2024,,,
931,Manager/Owner,foodBeverages,scheduling,Australia,APAC,cpc-google_pmax,PC,20,12/06/2024,12/06/2024,27/06/2024,28/06/2024,588
932,Food and Beverage Manager,foodBeverages,scheduling,United States of America,NorthAmerica,cpc-Bingpaid,PC,20,12/06/2024,12/06/2024,,,
933,CNO,healthcare,scheduling,United States of America,NorthAmerica,cpc-google,PC,75,12/06/2024,,,,
934,General Manager,manufacturing,general,Australia,APAC,cpc-google,PC,20,12/06/2024,12/06/2024,21/06/2024,21/06/2024,"1,284"
935,CEO,foodBeverages,general,Australia,APAC,organic,PC,40,12/06/2024,12/06/2024,,,
936,Head of HR,realEstate,general,Bangladesh,APAC,organic,PC,20,12/06/2024,,,,
937,Staffing Director,healthcare,general,United States of America,NorthAmerica,cpc-google,PC,350,12/06/2024,,,,
938,Preisdent,staffing,general,United States of America,NorthAmerica,cpc-google,PC,20,12/06/2024,,,,
939,chef,foodBeverages,scheduling,Australia,APAC,cpc-google,PC,20,12/06/2024,12/06/2024,,,
940,Manager,retail,"timeClock,schedule",United States of America,NorthAmerica,mobile,Mobile,20,12/06/2024,13/06/2024,,,
941,Library User Services Manager,education,scheduling,United Kingdom,Europe,cpc-Bingpaid,PC,20,12/06/2024,,,,
942,Event Manager,entertainment,general,Indonesia,APAC,organic,PC,20,12/06/2024,13/06/2024,,,
943,Office Manager,healthcare,general,United States of America,NorthAmerica,organic,Mobile,20,12/06/2024,,,,
944,Owner,foodBeverages,scheduling,Panama,NorthAmerica,cpc-google,PC,20,12/06/2024,,,,
945,Owner,foodBeverages,timeTracking,Australia,APAC,cpc-google,PC,20,12/06/2024,12/06/2024,,,
946,Manager,foodBeverages,checklists,Canada,NorthAmerica,cpc-google,PC,20,12/06/2024,,,,
947,Production Manager,other,checklists,United States of America,NorthAmerica,cpc-google,PC,20,12/06/2024,,,,
948,Area manager,foodBeverages,general,United States of America,NorthAmerica,mobile,Mobile,75,12/06/2024,17/06/2024,17/06/2024,,
949,Owner,education,general,United States of America,NorthAmerica,mobile,Mobile,20,12/06/2024,15/06/2024,,,
950,Popillusion,other,scheduling,Singapore,APAC,cpc-pmp,PC,20,12/06/2024,,,,
951,RECEPTIONIST,healthcare,scheduling,United States of America,NorthAmerica,cpc-google,PC,20,12/06/2024,,,,
952,Chief Technician,retail,timeTracking,United States of America,NorthAmerica,cpc-google_pmax,PC,20,12/06/2024,12/06/2024,,,
953,Manager,foodBeverages,scheduling,Canada,NorthAmerica,cpc-google,PC,40,12/06/2024,,,,
954,Manager,governmental,timeTracking,United Arab Emirates,ArabStates,cpc-google,PC,20,12/06/2024,,,,
955,CEO,staffing,timeTracking,Canada,NorthAmerica,cpc-google_pmax,PC,75,12/06/2024,12/06/2024,18/06/2024,,
956,Principal/Owner,other,scheduling,United States of America,NorthAmerica,cpc-google_pmax,PC,20,12/06/2024,,,,
957,Manager,foodBeverages,scheduling,United States of America,NorthAmerica,cpc-google,Mobile,20,12/06/2024,,,,
958,Regional Manager,retail,timeTracking,United States of America,NorthAmerica,cpc-google_pmax,PC,40,12/06/2024,12/06/2024,,,
959,Director,other,general,Australia,APAC,cpc-google_pmax,PC,150,12/06/2024,,,,
960,CEO,healthcare,timeOff,United States of America,NorthAmerica,cpc-google,PC,20,12/06/2024,12/06/2024,,,
961,Group Operations Manager,hospitality,general,Australia,APAC,cpc-google,Mobile,150,12/06/2024,,,,
962,General Manager,foodBeverages,general,United States of America,NorthAmerica,cpc-google_brand,PC,20,12/06/2024,12/06/2024,,14/07/2024,348
963,manager,cleaning,general,Malaysia,APAC,organic,PC,75,12/06/2024,12/06/2024,,,
964,CEO,transportation,general,United States of America,NorthAmerica,cpc-google_brand,PC,40,12/06/2024,13/06/2024,,,
965,IS,manufacturing,schedule,United States of America,NorthAmerica,organic,PC,150,12/06/2024,12/06/2024,,,
966,Intern,npo,scheduling,United States of America,NorthAmerica,cpc-google,PC,75,12/06/2024,12/06/2024,,,
967,CEO,logistics,scheduling,United Arab Emirates,ArabStates,cpc-google,PC,150,12/06/2024,,,,
968,owner,healthcare,scheduling,Canada,NorthAmerica,cpc-google_pmax,PC,20,12/06/2024,,,,
969,Director,education,general,United States of America,NorthAmerica,mobile,Mobile,20,12/06/2024,12/06/2024,,,
970,CEO,security,general,United States of America,NorthAmerica,cpc-google,Mobile,20,12/06/2024,,,,
971,CEO,beautySpa,timeTracking,United States of America,NorthAmerica,cpc-Bingpaid,PC,20,12/06/2024,,,,
972,Manager,foodBeverages,general,United States of America,NorthAmerica,mobile,Mobile,20,12/06/2024,12/06/2024,,,
973,Assistant Manager,foodBeverages,scheduling,United States of America,NorthAmerica,cpc-google,PC,20,12/06/2024,12/06/2024,,,
974,Vbhbb,healthcare,timeClock,Uzbekistan,APAC,mobile,Mobile,40,12/06/2024,,,,
975,Medical Receptionist,healthcare,"timeClock,schedule",United States of America,NorthAmerica,mobile,Mobile,20,12/06/2024,,,,
976,Office,other,general,United States of America,NorthAmerica,cpc-google,PC,40,12/06/2024,,,,
977,Boss,cleaning,general,United States of America,NorthAmerica,mobile,Mobile,20,12/06/2024,,,,
978,Facilities and IT Coordinator,governmental,formsAndChecklists,Australia,APAC,cpc-google_pmax,PC,20,12/06/2024,,,,
979,Continuous Improvement Specialist,healthcare,general,United States of America,NorthAmerica,cpc-google,PC,20,12/06/2024,12/06/2024,13/06/2024,,
980,Clinical Lead,healthcare,general,United States of America,NorthAmerica,cpc-google,Mobile,20,12/06/2024,,,,
981,HR Administrator,transportation,timeTracking,United Kingdom,Europe,cpc-google,PC,20,12/06/2024,,,,
982,Office Admin #2,construction,chatAndUpdates,United States of America,NorthAmerica,cpc-google,PC,75,12/06/2024,12/06/2024,14/06/2024,18/06/2024,"1,140"
983,Head of Process and Technology Department,construction,general,Lithuania,Europe,cpc-google,PC,40,12/06/2024,,17/06/2024,,
984,Residential Supervisor,healthcare,general,United States of America,NorthAmerica,mobile,Mobile,20,12/06/2024,,,,
985,Inspetor de Qualidade,manufacturing,checklists,Brazil,SouthAmerica,cpc-google,PC,350,12/06/2024,,,,
986,tramdriver,cleaning,timeTracking,Germany,Europe,cpc-google,PC,40,12/06/2024,,,,
987,Admin,security,scheduling,United States of America,NorthAmerica,cpc-TikTok,Mobile,40,12/06/2024,,,,
988,Organizer,entertainment,schedule,United States of America,NorthAmerica,mobile,Mobile,20,12/06/2024,,,,
989,DIRECTOR,construction,general,South Africa,Africa,cpc-Bingpaid,PC,20,12/06/2024,,,,
990,HR Manager,hospitality,general,Estonia,Europe,cpc-google_pmax,PC,150,12/06/2024,,,,
991,PGa,transportation,timeClock,Indonesia,APAC,mobile,Mobile,150,12/06/2024,,,,
992,Nothing,cleaning,scheduling,United States of America,NorthAmerica,cpc-TikTok,Mobile,20,12/06/2024,,,,
993,Manager,foodBeverages,"timeClock,schedule",United Kingdom,Europe,mobile,Mobile,20,12/06/2024,23/06/2024,,,
994,Cpht / scheduler,healthcare,schedule,United States of America,NorthAmerica,mobile,Mobile,20,12/06/2024,,,,
995,Supervisor,manufacturing,general,United States of America,NorthAmerica,mobile,Mobile,20,12/06/2024,,,,
996,ADMIN,manufacturing,schedule,United States of America,NorthAmerica,cpc-google,PC,150,12/06/2024,,,,
997,Lead Pastor,religious,taskManagement,United States of America,NorthAmerica,cpc-google,PC,20,12/06/2024,12/06/2024,,,
998,Managing Director,hospitality,timeTracking,Australia,APAC,cpc-google,PC,20,12/06/2024,,,,
999,Transoportadora,transportation,checklists,Mexico,NorthAmerica,cpc-google,PC,150,12/06/2024,22/06/2024,,,
1000,HR,other,general,Zambia,Africa,organic,PC,350,12/06/2024,,,,
1001,EFWC,staffing,scheduling,Canada,NorthAmerica,cpc-google_pmax,PC,40,12/06/2024,,,,
1002,Owner,foodBeverages,scheduling,United States of America,NorthAmerica,cpc-google_pmax,Mobile,40,12/06/2024,12/06/2024,,,
1003,Owner,hospitality,general,United States of America,NorthAmerica,insite,PC,40,12/06/2024,12/06/2024,,08/07/2024,448.8
1004,Practice manager,healthcare,scheduling,United States of America,NorthAmerica,cpc-google,Mobile,20,12/06/2024,,,,
1005,Owner,foodBeverages,general,United States of America,NorthAmerica,cpc-capterra.com,Mobile,20,12/06/2024,,,,
1006,Accountant,manufacturing,checklists,Australia,APAC,cpc-google_pmax,PC,75,12/06/2024,,14/06/2024,14/06/2024,"2,556"
1007,Executive Assistant & Events,hospitality,scheduling,New Zealand,APAC,cpc-google,PC,20,12/06/2024,,,,
1008,Admin Assistant,other,general,United Kingdom,Europe,organic,PC,40,12/06/2024,,,,
1009,Manager,retail,scheduling,United States of America,NorthAmerica,cpc-google,PC,20,12/06/2024,,,,
1010,CEO/GM,construction,general,Philippines,APAC,mobile,Mobile,20,12/06/2024,17/06/2024,,,
1011,Owner,transportation,scheduling,United States of America,NorthAmerica,cpc-google,PC,20,12/06/2024,12/06/2024,,17/07/2024,420
1012,Executive Director,healthcare,general,United States of America,NorthAmerica,cpc-google_pmax,PC,75,12/06/2024,12/06/2024,,,
1013,Administrator,healthcare,general,United States of America,NorthAmerica,cpc-Bingpaid,PC,40,12/06/2024,13/06/2024,,02/07/2024,348
1014,בעלים,foodBeverages,general,Israel,Israel,cpc-google_il,PC,40,12/06/2024,,,,
1015,INTRA,construction,general,Cambodia,APAC,cpc-sourceforge,PC,75,12/06/2024,,,,
1016,Managing Director,events,general,United Arab Emirates,ArabStates,cpc-pmp,Mobile,20,12/06/2024,,,,
1017,Sr. Shift Manager Raw Material,manufacturing,scheduling,United States of America,NorthAmerica,cpc-Bingpaid,PC,350,12/06/2024,12/06/2024,,,
1018,Owner,foodBeverages,scheduling,United States of America,NorthAmerica,cpc-google_pmax,Mobile,350,12/06/2024,,,,
1019,Intake and Aged Care Lead,healthcare,general,Australia,APAC,cpc-google,PC,40,12/06/2024,,,,
1020,Manager,foodBeverages,scheduling,Philippines,APAC,cpc-google,PC,75,12/06/2024,,,,
1021,Supervisor,security,general,United States of America,NorthAmerica,mobile,Mobile,20,12/06/2024,,,,
1022,Shop manager,retail,general,United Kingdom,Europe,mobile,Mobile,20,12/06/2024,,,,
1023,Marketing Manager,gardening,scheduling,United States of America,NorthAmerica,cpc-google,PC,20,12/06/2024,12/06/2024,18/06/2024,,
1024,Manager,retail,general,United States of America,NorthAmerica,mobile,Mobile,20,12/06/2024,,,,
1025,Operations Manager,transportation,scheduling,United States of America,NorthAmerica,cpc-google,PC,75,12/06/2024,,,,
1026,ADMIN,governmental,schedule,United States of America,NorthAmerica,cpc-google_pmax,PC,20,12/06/2024,,,,
1027,OWNER,cleaning,timeClock,United States of America,NorthAmerica,mobile,Mobile,20,12/06/2024,12/06/2024,,,
1028,Take,hospitality,documentManagement,United Kingdom,Europe,cpc-google,PC,"3,000",12/06/2024,12/06/2024,,,
1029,Managing Director,other,general,United Kingdom,Europe,cpc-google_brand,PC,20,12/06/2024,,,,
1030,Operations Directors,events,general,United Kingdom,Europe,organic,PC,20,12/06/2024,,,,
1031,General Manager,foodBeverages,general,United States of America,NorthAmerica,direct,PC,20,12/06/2024,12/06/2024,,,
1032,Boss,foodBeverages,checklists,Mexico,NorthAmerica,cpc-google,PC,20,12/06/2024,12/06/2024,,,
1033,Owner,foodBeverages,general,Philippines,APAC,mobile,Mobile,20,12/06/2024,,,,
1034,RTS Manager,healthcare,schedule,United States of America,NorthAmerica,cpc-google_brand,PC,150,12/06/2024,,17/06/2024,12/06/2024,348
1035,Administrator,healthcare,general,United States of America,NorthAmerica,cpc-google,PC,20,12/06/2024,,,12/06/2024,348
1036,Assistant Manager,hospitality,timeTracking,Canada,NorthAmerica,cpc-google_pmax,PC,20,12/06/2024,,,,
1037,President,cleaning,general,United States of America,NorthAmerica,cpc-pmp,PC,75,12/06/2024,13/06/2024,17/06/2024,,
1038,Hali,retail,scheduling,United States of America,NorthAmerica,cpc-pmp,PC,20,12/06/2024,,,,
1039,President,construction,general,United States of America,NorthAmerica,cpc-google,PC,20,12/06/2024,12/06/2024,,,
1040,Cleaning,cleaning,general,United States of America,NorthAmerica,mobile,Mobile,20,12/06/2024,,,,
1041,Marketing,other,schedule,Netherlands,Europe,organic,PC,20,12/06/2024,,,,
1042,boss,retail,scheduling,France,Europe,cpc-google,PC,20,12/06/2024,,,,
1043,Administrator,other,scheduling,United States of America,NorthAmerica,cpc-capterra.com,Mobile,20,12/06/2024,12/06/2024,,,
1044,Opertions,other,general,United States of America,NorthAmerica,cpc-google,PC,40,12/06/2024,12/06/2024,,26/06/2024,"1,980"
1045,Senior Case Manager,other,scheduling,United Kingdom,Europe,cpc-google_pmax,PC,20,12/06/2024,12/06/2024,,,
1046,Safety Manager,transportation,trainingAndOnboarding,United States of America,NorthAmerica,direct,Mobile,40,12/06/2024,12/06/2024,12/06/2024,,
1047,Digital Manager,healthcare,general,Philippines,APAC,cpc-google,PC,40,12/06/2024,12/06/2024,,,
1048,Operations Manager,healthcare,general,Australia,APAC,cpc-google,PC,40,12/06/2024,12/06/2024,14/06/2024,,
1049,Dev,manufacturing,general,South Africa,Africa,cpc-pmp,PC,40,12/06/2024,,,,
1050,Operations Manager,npo,"timeClock,schedule",United Kingdom,Europe,organic,Mobile,75,12/06/2024,12/06/2024,05/06/2024,,
1051,Manager,other,general,South Africa,Africa,mobile,Mobile,20,12/06/2024,13/06/2024,,,
1052,Manager,logistics,scheduling,Qatar,ArabStates,cpc-google,PC,75,12/06/2024,,,,
1053,Owner,foodBeverages,general,United States of America,NorthAmerica,cpc-capterra.com,Mobile,40,12/06/2024,,13/06/2024,13/06/2024,"1,132.80"
1054,Director of Operations,construction,schedule,United States of America,NorthAmerica,mobile,Mobile,20,12/06/2024,,,,
1055,manager,hospitality,general,India,APAC,organic,PC,20,12/06/2024,,,,
1056,Director,education,timeTracking,United States of America,NorthAmerica,cpc-google,PC,40,12/06/2024,12/06/2024,,,
1057,Manager,healthcare,chatAndUpdates,Australia,APAC,cpc-Bingpaid,PC,40,12/06/2024,12/06/2024,,,
1058,CEO,healthcare,general,United States of America,NorthAmerica,mobile,Mobile,150,12/06/2024,12/06/2024,18/06/2024,19/06/2024,"13,908"
1059,Ghiiu,healthcare,timeClock,Bangladesh,APAC,mobile,Mobile,350,12/06/2024,,,,
1060,Verification,hospitality,timeClock,Rwanda,Africa,mobile,Mobile,20,12/06/2024,,,,
1061,Office Manager,construction,general,United States of America,NorthAmerica,cpc-google,PC,20,12/06/2024,12/06/2024,,,
1062,Director of Business Operations,healthcare,general,United States of America,NorthAmerica,organic,PC,20,12/06/2024,12/06/2024,13/06/2024,,
1063,Supervisor,security,general,United States of America,NorthAmerica,organic,PC,20,12/06/2024,,,,
1064,Executive Assistant,entertainment,scheduling,United Kingdom,Europe,cpc-google,PC,"3,000",12/06/2024,,,,
1065,Executive Director,education,chatAndUpdates,United States of America,NorthAmerica,cpc-google,PC,20,12/06/2024,12/06/2024,17/06/2024,17/06/2024,588
1066,Apartment restoration,construction,timeTracking,United States of America,NorthAmerica,cpc-Bingpaid,PC,20,12/06/2024,12/06/2024,,05/08/2024,348
1067,CEO,retail,scheduling,Italy,Europe,cpc-google,PC,20,12/06/2024,,,,
1068,Developer,retail,general,India,APAC,direct,PC,20,12/06/2024,12/06/2024,,,
1069,Creative Technologist,retail,timeClock,Lebanon,ArabStates,referral,PC,20,12/06/2024,,,,
1070,ENGINEER,other,general,Singapore,APAC,cpc-Bingpaid,PC,20,12/06/2024,,,,
1071,Hrm,retail,general,Ireland,Europe,mobile,Mobile,20,12/06/2024,13/06/2024,,,
1072,Manager,foodBeverages,scheduling,Canada,NorthAmerica,cpc-capterra.com,PC,20,12/06/2024,,,,
1073,Iinbbvh,healthcare,timeClock,Bangladesh,APAC,mobile,Mobile,20,12/06/2024,,,,
1074,Bbjk,healthcare,timeClock,Bangladesh,APAC,mobile,Mobile,20,12/06/2024,,,,
1075,WATCHES,retail,timeTracking,Oman,ArabStates,cpc-google,PC,20,12/06/2024,,,,
1076,Donor Relations Coordinator,education,scheduling,Canada,NorthAmerica,cpc-google,PC,150,12/06/2024,,,,
1077,Forman,construction,timeTracking,Ireland,Europe,cpc-google_pmax,Mobile,20,11/06/2024,,,,
1078,Operations Partner,foodBeverages,general,United States of America,NorthAmerica,organic,Mobile,75,11/06/2024,,,,
1079,Director,healthcare,scheduling,Australia,APAC,cpc-google,PC,20,11/06/2024,,,,
1080,Owner,security,"timeClock,schedule",United States of America,NorthAmerica,mobile,Mobile,20,11/06/2024,11/06/2024,,29/07/2024,420
1081,Restaurant,foodBeverages,timeClock,Brazil,SouthAmerica,cpc-google,PC,40,11/06/2024,11/06/2024,,,
1082,Admission nurse,healthcare,schedule,United States of America,NorthAmerica,mobile,Mobile,20,11/06/2024,,,,
1083,Inhaber,fitness,general,Germany,Europe,cpc-google,PC,20,11/06/2024,,13/06/2024,,
1084,HR Manager,healthcare,timeTracking,United States of America,NorthAmerica,partnerships-partnerstack,PC,20,11/06/2024,11/06/2024,,,
1085,Manager,manufacturing,general,India,APAC,mobile,Mobile,40,11/06/2024,,,,
1086,CEO,other,schedule,United Kingdom,Europe,organic,PC,150,11/06/2024,,,,
1087,Property Consultant,realEstate,schedule,United Arab Emirates,ArabStates,,Mobile,20,11/06/2024,,,,
1088,Senior Specialist,security,scheduling,Ireland,Europe,cpc-google_pmax,PC,20,11/06/2024,,,,
1089,Director,entertainment,timeTracking,United Kingdom,Europe,cpc-google_pmax,Mobile,20,11/06/2024,03/09/2024,,,
1090,Canvass,other,general,United States of America,NorthAmerica,mobile,Mobile,20,11/06/2024,,,,
1091,Director,events,scheduling,Netherlands,Europe,cpc-pmp,PC,20,11/06/2024,,,,
1092,President,other,timeTracking,United States of America,NorthAmerica,organic,Mobile,20,11/06/2024,,,,
1093,Assistant IT Director,governmental,scheduling,United States of America,NorthAmerica,cpc-google,PC,75,11/06/2024,,,,
1094,Serviceman,fieldServices,scheduling,Australia,APAC,cpc-capterra.com,Mobile,"3,000",11/06/2024,,,,
1095,Practice Administrator,healthcare,general,United States of America,NorthAmerica,organic,PC,40,11/06/2024,11/06/2024,03/06/2024,26/06/2024,"2,166"
1096,IT,governmental,timeOff,Bahrain,ArabStates,organic,PC,150,11/06/2024,,,,
1097,Director,education,scheduling,United States of America,NorthAmerica,cpc-Bingpaid,PC,20,11/06/2024,,,,
1098,HR,retail,scheduling,United States of America,NorthAmerica,cpc-google,Mobile,20,11/06/2024,11/06/2024,,13/07/2024,420
1099,Operaciones,healthcare,checklists,Mexico,NorthAmerica,cpc-google,PC,150,11/06/2024,,,,
1100,Construction worker,construction,scheduling,Canada,NorthAmerica,cpc-google_pmax,Mobile,75,11/06/2024,,,,
1101,Kitchen manager,foodBeverages,general,United Kingdom,Europe,mobile,Mobile,20,11/06/2024,,,,
1102,Gvvbhdt,cleaning,timeClock,Bangladesh,APAC,mobile,Mobile,350,11/06/2024,,,,
1103,Dyikkbc,healthcare,timeClock,Western Sahara,other,mobile,Mobile,40,11/06/2024,,,,
1104,Financial Officer,education,timeClock,United States of America,NorthAmerica,mobile,Mobile,40,11/06/2024,,,,
1105,roster manager,healthcare,scheduling,Australia,APAC,cpc-Bingpaid,PC,20,11/06/2024,,,,
1106,Human Resources Administrator,healthcare,general,Bahamas,NorthAmerica,cpc-google_pmax,Mobile,20,11/06/2024,11/06/2024,,06/08/2024,420
1107,Leader,cleaning,scheduling,Belgium,Europe,cpc-google,PC,20,11/06/2024,,,,
1108,Owner,foodBeverages,general,United States of America,NorthAmerica,organic,Mobile,20,11/06/2024,,11/06/2024,,
1109,Supervisor,healthcare,general,United States of America,NorthAmerica,cpc-google_brand,PC,20,11/06/2024,11/06/2024,12/06/2024,,
1110,Sia,hospitality,general,United Kingdom,Europe,cpc-google,Mobile,20,11/06/2024,,,,
1111,Hkokhh,healthcare,timeClock,Philippines,APAC,mobile,Mobile,20,11/06/2024,,,,
1112,Dyrektor Generalny,fieldServices,taskManagement,Poland,Europe,cpc-google,PC,20,11/06/2024,11/06/2024,,25/06/2024,708
1113,HR Manager,other,general,Ukraine,Europe,cpc-google_brand,PC,20,11/06/2024,12/06/2024,,19/08/2024,708
1114,Assistente de Diretoria,events,checklists,Brazil,SouthAmerica,cpc-google,PC,40,11/06/2024,,,,
1115,District Manager,foodBeverages,general,United States of America,NorthAmerica,cpc-google,PC,350,11/06/2024,11/06/2024,13/06/2024,25/06/2024,"6,672"
1116,Manager,hospitality,general,Georgia,APAC,,Mobile,20,11/06/2024,,,,
1117,Ceo,foodBeverages,general,Romania,Europe,mobile,Mobile,20,11/06/2024,,,,
1118,Khan,foodBeverages,timeClock,United Arab Emirates,ArabStates,mobile,Mobile,"3,000",11/06/2024,,,,
1119,Company Manager,beautySpa,scheduling,United States of America,NorthAmerica,cpc-google,PC,40,11/06/2024,,,,
1120,Software Support,fieldServices,general,United Kingdom,Europe,,Mobile,40,11/06/2024,,,,
1121,Operational Manager,logistics,scheduling,Bulgaria,Europe,cpc-google,PC,75,11/06/2024,,,,
1122,owner,foodBeverages,checklists,United States of America,NorthAmerica,cpc-google,PC,40,11/06/2024,,,,
1123,Head Conductor,transportation,scheduling,United States of America,NorthAmerica,cpc-google,PC,40,11/06/2024,,,,
1124,Store Manager,retail,scheduling,Canada,NorthAmerica,cpc-google_pmax,PC,20,11/06/2024,,,,
1125,Supervisor,logistics,general,United States of America,NorthAmerica,direct,Mobile,20,11/06/2024,,,,
1126,Chief Wrangler,retail,timeTracking,Canada,NorthAmerica,cpc-google,PC,40,11/06/2024,11/06/2024,,25/06/2024,"1,999.20"
1127,Store Operator,foodBeverages,general,United States of America,NorthAmerica,cpc-google,PC,75,11/06/2024,,,,
1128,X,foodBeverages,schedule,United States of America,NorthAmerica,mobile,Mobile,20,11/06/2024,,,,
1129,Médico Veterinária,healthcare,scheduling,Portugal,Europe,cpc-google,PC,40,11/06/2024,,,,
1130,Admin,education,general,Canada,NorthAmerica,cpc-Bingpaid,PC,20,11/06/2024,,,,
1131,Supervisor,hospitality,scheduling,United Kingdom,Europe,cpc-Bingpaid,PC,40,11/06/2024,,,,
1132,CEO,cleaning,timeClock,United Kingdom,Europe,mobile,Mobile,20,11/06/2024,,,,
1133,Operations Associate,other,timeOff,United States of America,NorthAmerica,organic,PC,20,11/06/2024,,,,
1134,Owner,hospitality,general,United States of America,NorthAmerica,mobile,Mobile,20,11/06/2024,,,,
1135,Managing Director,hospitality,timeTracking,United States of America,NorthAmerica,cpc-google_pmax,PC,75,11/06/2024,,,,
1136,General Manager,other,formsAndChecklists,United States of America,NorthAmerica,cpc-google_pmax,PC,20,11/06/2024,,,,
1137,medical,healthcare,taskManagement,United Arab Emirates,ArabStates,cpc-google,PC,750,11/06/2024,,,,
1138,Office Manager,entertainment,general,United States of America,NorthAmerica,direct,PC,350,11/06/2024,11/06/2024,,,
1139,Boss,other,scheduling,Canada,NorthAmerica,cpc-google,PC,20,11/06/2024,,,,
1140,Personalverantwortlich,transportation,general,Germany,Europe,direct,PC,40,11/06/2024,12/06/2024,17/06/2024,,
1141,Managing Director,manufacturing,timeClock,Bangladesh,APAC,mobile,Mobile,20,11/06/2024,,,,
1142,ANALYST III,healthcare,scheduling,United States of America,NorthAmerica,cpc-Bingpaid,PC,75,11/06/2024,,,,
1143,תכנית עבודה,governmental,scheduling,Israel,Israel,cpc-google_il,PC,20,11/06/2024,,,,
1144,Registered Nurse,healthcare,schedule,United States of America,NorthAmerica,mobile,Mobile,20,11/06/2024,11/06/2024,,14/06/2024,708
1145,Admin,construction,timeTracking,United Kingdom,Europe,cpc-Bingpaid,PC,20,11/06/2024,11/06/2024,,,
1146,Bookkeeper,cleaning,schedule,United States of America,NorthAmerica,cpc-google,PC,20,11/06/2024,11/06/2024,10/06/2024,24/06/2024,348
1147,ceo,cleaning,documentManagement,Canada,NorthAmerica,cpc-google_pmax,PC,20,11/06/2024,,,,
1148,Office Manager,construction,communication,United States of America,NorthAmerica,cpc-google_pmax,PC,20,11/06/2024,,,,
1149,Manager,foodBeverages,scheduling,Philippines,APAC,cpc-google,PC,40,11/06/2024,11/06/2024,,,
1150,Counsoler,other,general,United States of America,NorthAmerica,mobile,Mobile,75,11/06/2024,,,,
1151,Secretary,construction,timeTracking,United States of America,NorthAmerica,cpc-google_pmax,PC,20,11/06/2024,11/06/2024,,,
1152,Co-owner,retail,timeTracking,Canada,NorthAmerica,partnerships-marketingpartners,PC,20,11/06/2024,11/06/2024,,,
1153,Owner,foodBeverages,general,United States of America,NorthAmerica,cpc-pmp,Mobile,40,11/06/2024,11/06/2024,,,
1154,Supervisor,cleaning,scheduling,United States of America,NorthAmerica,cpc-google,PC,75,11/06/2024,,,,
